NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABHD12	3291	0.39046546816825867	-0.3193392	No	
row_1	DAGLB	4175	0.0026648666244000196	-0.40694892	No	
row_2	ABHD16B	4192	0.0	-0.40853733	No	
row_3	APOA2	4252	0.0	-0.4143946	No	
row_4	APOA5	4254	0.0	-0.41449386	No	
row_5	APOC3	4258	0.0	-0.41479167	No	
row_6	GPIHBP1	5118	0.0	-0.50006914	No	
row_7	CPS1	7437	-0.8255038857460022	-0.71459574	No	
row_8	LIPE	7666	-1.0365058183670044	-0.7176511	No	
row_9	ABHD12B	9251	-4.2468037605285645	-0.7946821	Yes	
row_10	DAGLA	9288	-4.426729679107666	-0.7146362	Yes	
row_11	ABHD16A	9379	-4.796394348144531	-0.63296825	Yes	
row_12	ABHD2	9726	-7.422829627990723	-0.52710205	Yes	
row_13	ABHD6	9731	-7.4612274169921875	-0.3865584	Yes	
row_14	FAAH	9865	-9.425592422485352	-0.22171491	Yes	
row_15	LIPC	10010	-12.904032707214355	0.0077434396	Yes	
