NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATOX1	615	4.888706207275391	0.018316833	No	
row_1	CCR2	2380	0.9163005948066711	-0.14262979	No	
row_2	CHGA	2844	0.5618876814842224	-0.17963862	No	
row_3	GNLY	2990	0.4640806019306183	-0.18653578	No	
row_4	BPIFB4	3176	0.3944733738899231	-0.19855481	No	
row_5	DEFB125	3190	0.3944733738899231	-0.19342528	No	
row_6	CTSG	3421	0.2998659312725067	-0.21147193	No	
row_7	LEAP2	3526	0.26515504717826843	-0.21752167	No	
row_8	CCR6	3641	0.20038539171218872	-0.22562346	No	
row_9	BPIFA1	4323	0.0	-0.29351977	No	
row_10	BPIFB2	4326	0.0	-0.29371917	No	
row_11	BPIFB6	4328	0.0	-0.29381886	No	
row_12	CAMP	4484	0.0	-0.30927253	No	
row_13	DCD	4714	0.0	-0.33210403	No	
row_14	DEFA1B	4723	0.0	-0.33290163	No	
row_15	DEFA3	4724	0.0	-0.33290163	No	
row_16	DEFA4	4725	0.0	-0.33290163	No	
row_17	DEFB1	4726	0.0	-0.33290163	No	
row_18	DEFB103B	4728	0.0	-0.33300132	No	
row_19	DEFB104B	4730	0.0	-0.33310103	No	
row_20	DEFB105B	4732	0.0	-0.33320072	No	
row_21	DEFB106B	4734	0.0	-0.33330044	No	
row_22	DEFB107B	4736	0.0	-0.33340013	No	
row_23	DEFB108B	4737	0.0	-0.33340013	No	
row_24	DEFB110	4740	0.0	-0.33359954	No	
row_25	DEFB112	4741	0.0	-0.33359954	No	
row_26	DEFB113	4742	0.0	-0.33359954	No	
row_27	DEFB114	4743	0.0	-0.33359954	No	
row_28	DEFB115	4744	0.0	-0.33359954	No	
row_29	DEFB116	4745	0.0	-0.33359954	No	
row_30	DEFB118	4746	0.0	-0.33359954	No	
row_31	DEFB119	4747	0.0	-0.33359954	No	
row_32	DEFB121	4748	0.0	-0.33359954	No	
row_33	DEFB123	4750	0.0	-0.33369923	No	
row_34	DEFB127	4751	0.0	-0.33369923	No	
row_35	DEFB128	4752	0.0	-0.33369923	No	
row_36	DEFB129	4753	0.0	-0.33369923	No	
row_37	DEFB132	4756	0.0	-0.33389863	No	
row_38	DEFB133	4757	0.0	-0.33389863	No	
row_39	DEFB134	4758	0.0	-0.33389863	No	
row_40	DEFB135	4759	0.0	-0.33389863	No	
row_41	DEFB136	4760	0.0	-0.33389863	No	
row_42	DEFB4B	4762	0.0	-0.33399832	No	
row_43	ELANE	4829	0.0	-0.3405786	No	
row_44	HTN1	5241	0.0	-0.38155568	No	
row_45	HTN3	5242	0.0	-0.38155568	No	
row_46	BPI	5776	-0.05242382735013962	-0.4338423	No	
row_47	ART1	6879	-0.49859756231307983	-0.53559095	No	
row_48	ITLN1	6961	-0.5108397006988525	-0.5353456	No	
row_49	BPIFB1	7315	-0.7743238806724548	-0.55792695	No	
row_50	DEFB124	7365	-0.8057035803794861	-0.54968804	No	
row_51	BPIFA2	7395	-0.8069868683815002	-0.53943425	No	
row_52	ATP7A	7641	-1.0126674175262451	-0.5473655	No	
row_53	DEFB126	7705	-1.0585904121398926	-0.53640306	No	
row_54	LCN2	8850	-2.9276742935180664	-0.6027716	Yes	
row_55	CLU	9685	-7.004208564758301	-0.5718295	Yes	
row_56	CD4	9819	-8.601003646850586	-0.44498664	Yes	
row_57	DEFA6	9971	-11.564101219177246	-0.27167204	Yes	
row_58	DEFA5	10074	-17.388099670410156	0.0013958921	Yes	
