NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	2380	0.9163005948066711	-0.21467406	No	
row_1	DEFB125	3190	0.3944733738899231	-0.2856415	No	
row_2	CCR6	3641	0.20038539171218872	-0.3255761	No	
row_3	DEFA1B	4723	0.0	-0.43312758	No	
row_4	DEFA3	4724	0.0	-0.43312758	No	
row_5	DEFA4	4725	0.0	-0.43312758	No	
row_6	DEFB1	4726	0.0	-0.43312758	No	
row_7	DEFB103B	4728	0.0	-0.4332271	No	
row_8	DEFB104B	4730	0.0	-0.43332657	No	
row_9	DEFB105B	4732	0.0	-0.43342605	No	
row_10	DEFB106B	4734	0.0	-0.43352556	No	
row_11	DEFB107B	4736	0.0	-0.43362504	No	
row_12	DEFB108B	4737	0.0	-0.43362504	No	
row_13	DEFB110	4740	0.0	-0.43382403	No	
row_14	DEFB112	4741	0.0	-0.43382403	No	
row_15	DEFB113	4742	0.0	-0.43382403	No	
row_16	DEFB114	4743	0.0	-0.43382403	No	
row_17	DEFB115	4744	0.0	-0.43382403	No	
row_18	DEFB116	4745	0.0	-0.43382403	No	
row_19	DEFB118	4746	0.0	-0.43382403	No	
row_20	DEFB119	4747	0.0	-0.43382403	No	
row_21	DEFB121	4748	0.0	-0.43382403	No	
row_22	DEFB123	4750	0.0	-0.43392354	No	
row_23	DEFB127	4751	0.0	-0.43392354	No	
row_24	DEFB128	4752	0.0	-0.43392354	No	
row_25	DEFB129	4753	0.0	-0.43392354	No	
row_26	DEFB132	4756	0.0	-0.4341225	No	
row_27	DEFB133	4757	0.0	-0.4341225	No	
row_28	DEFB134	4758	0.0	-0.4341225	No	
row_29	DEFB135	4759	0.0	-0.4341225	No	
row_30	DEFB136	4760	0.0	-0.4341225	No	
row_31	DEFB4B	4762	0.0	-0.434222	No	
row_32	ART1	6879	-0.49859756231307983	-0.63271284	No	
row_33	DEFB124	7365	-0.8057035803794861	-0.6615181	No	
row_34	DEFB126	7705	-1.0585904121398926	-0.6696931	No	
row_35	CD4	9819	-8.601003646850586	-0.6723039	Yes	
row_36	DEFA6	9971	-11.564101219177246	-0.40818492	Yes	
row_37	DEFA5	10074	-17.388099670410156	0.0013929385	Yes	
