NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESRRB	62	10.337811470031738	0.03016686	No	
row_1	DVL1	466	5.613280773162842	0.009598758	No	
row_2	EIF4A3	691	4.575502872467041	0.0032868225	No	
row_3	HOXB4	841	3.933119773864746	0.0022179266	No	
row_4	KBTBD8	1199	2.8433432579040527	-0.023493223	No	
row_5	ALDH1A2	1230	2.749926805496216	-0.016819935	No	
row_6	GCM1	1618	1.889098048210144	-0.048889406	No	
row_7	FUT8	1691	1.763526201248169	-0.049888045	No	
row_8	LIG4	1894	1.4531811475753784	-0.06498371	No	
row_9	BMP4	1904	1.4380710124969482	-0.060824804	No	
row_10	COL1A1	1951	1.3697949647903442	-0.060607586	No	
row_11	HEY1	2178	1.108400583267212	-0.079317175	No	
row_12	CELF1	2242	1.0465205907821655	-0.08193795	No	
row_13	ISL1	2612	0.7105797529220581	-0.11635283	No	
row_14	HOPX	2706	0.6291990876197815	-0.12344297	No	
row_15	BRCA1	2798	0.601324737071991	-0.1304311	No	
row_16	BCL10	2907	0.5192005634307861	-0.13940883	No	
row_17	DVL2	2942	0.49433761835098267	-0.14107107	No	
row_18	CHD7	3335	0.3641778528690338	-0.17900553	No	
row_19	FLCN	3610	0.21968436241149902	-0.20564364	No	
row_20	INTU	3761	0.13913939893245697	-0.22016013	No	
row_21	E2F7	3806	0.11890219151973724	-0.22414358	No	
row_22	KLHL12	3934	0.08858773857355118	-0.23653701	No	
row_23	KDM2B	3954	0.07946141064167023	-0.23815821	No	
row_24	COL2A1	4029	0.05292057245969772	-0.24537499	No	
row_25	HOXD3	4054	0.04799487069249153	-0.24760711	No	
row_26	FOXF1	4077	0.04210353642702103	-0.24965987	No	
row_27	ATP6AP2	4079	0.03920822590589523	-0.24962196	No	
row_28	HES1	4127	0.017797909677028656	-0.25426123	No	
row_29	GATA3	4168	0.0047172377817332745	-0.25824624	No	
row_30	EGFL8	4823	0.0	-0.3236724	No	
row_31	GSC	5155	0.0	-0.35678566	No	
row_32	HORMAD1	5220	0.0	-0.3631882	No	
row_33	HOXB9	5623	-0.025163425132632256	-0.40331578	No	
row_34	HOXC9	5668	-0.04524064436554909	-0.40755838	No	
row_35	HAND1	5723	-0.05139089375734329	-0.41277972	No	
row_36	HOXA1	5896	-0.0834570825099945	-0.429693	No	
row_37	FUZ	5947	-0.099894680082798	-0.43434358	No	
row_38	HES5	5969	-0.11123555898666382	-0.43605307	No	
row_39	IGF2	5974	-0.11241180449724197	-0.43605775	No	
row_40	ARL13B	6302	-0.2581062614917755	-0.4678628	No	
row_41	HOXA4	6446	-0.31673726439476013	-0.48105422	No	
row_42	FOXD3	6630	-0.426179975271225	-0.4978622	No	
row_43	ALX1	6728	-0.4963702857494354	-0.5058198	No	
row_44	GRHL2	6917	-0.49859756231307983	-0.5228732	No	
row_45	CASP8	7007	-0.5442323088645935	-0.5298621	No	
row_46	HOXA9	7070	-0.5866935849189758	-0.5340006	No	
row_47	BMPR1A	7157	-0.6585467457771301	-0.5402872	No	
row_48	CTNNB1	7164	-0.6640858054161072	-0.5385511	No	
row_49	COBL	7423	-0.8163049817085266	-0.5614896	No	
row_50	IRX5	7494	-0.8814271092414856	-0.5653915	No	
row_51	DSCAML1	7555	-0.9430829286575317	-0.568076	No	
row_52	FOXB1	7563	-0.9479233026504517	-0.5654414	No	
row_53	DEAF1	7816	-1.1733744144439697	-0.5865235	No	
row_54	BMP5	8081	-1.4896092414855957	-0.60769343	No	
row_55	CHRD	8326	-1.8312652111053467	-0.62566066	No	
row_56	HOXD4	8413	-1.9803929328918457	-0.62729686	Yes	
row_57	DVL3	8434	-2.0150392055511475	-0.6222086	Yes	
row_58	ADAM10	8464	-2.0416300296783447	-0.61792713	Yes	
row_59	ACVR1C	8537	-2.1839699745178223	-0.6174466	Yes	
row_60	EOMES	8547	-2.2130260467529297	-0.6105614	Yes	
row_61	HINFP	8552	-2.2244136333465576	-0.6031358	Yes	
row_62	BBS4	8559	-2.2366654872894287	-0.5958673	Yes	
row_63	LMO4	8719	-2.599269390106201	-0.6026292	Yes	
row_64	BMP2	8889	-3.0611929893493652	-0.6087664	Yes	
row_65	E2F8	8907	-3.115675687789917	-0.59950584	Yes	
row_66	CAMSAP3	8932	-3.194437265396118	-0.5906685	Yes	
row_67	GLI2	8938	-3.2036988735198975	-0.57989776	Yes	
row_68	HOXB3	8977	-3.3319971561431885	-0.571977	Yes	
row_69	FOXI1	9316	-4.520456314086914	-0.5898872	Yes	
row_70	FGFR2	9341	-4.639284610748291	-0.5759667	Yes	
row_71	HEY2	9360	-4.730468273162842	-0.5611253	Yes	
row_72	GRHL3	9367	-4.748814105987549	-0.54501873	Yes	
row_73	EMP2	9401	-4.9089813232421875	-0.53104985	Yes	
row_74	CELF4	9406	-4.931258201599121	-0.5141014	Yes	
row_75	ARNT2	9436	-5.046581268310547	-0.4992482	Yes	
row_76	FGFR1	9461	-5.249457836151123	-0.48318112	Yes	
row_77	BMPR2	9491	-5.47862434387207	-0.466808	Yes	
row_78	KIAA1217	9668	-6.853402137756348	-0.46030414	Yes	
row_79	LHX1	9671	-6.861820697784424	-0.43636373	Yes	
row_80	CELSR1	9692	-7.134759426116943	-0.41326383	Yes	
row_81	CRB2	9724	-7.4141082763671875	-0.39028156	Yes	
row_82	LFNG	9755	-7.67483377456665	-0.36628202	Yes	
row_83	IFT122	9790	-8.170527458190918	-0.34093875	Yes	
row_84	DLC1	9816	-8.548738479614258	-0.3133645	Yes	
row_85	BMP7	9832	-8.893775939941406	-0.283576	Yes	
row_86	ASCL2	9855	-9.274261474609375	-0.2531492	Yes	
row_87	HOXD9	9986	-11.94321060180664	-0.22413713	Yes	
row_88	FOLR1	9990	-12.079898834228516	-0.1819391	Yes	
row_89	HOXA3	9992	-12.146921157836914	-0.13930517	Yes	
row_90	DLL1	10001	-12.544608116149902	-0.09597245	Yes	
row_91	HOXC4	10044	-14.730765342712402	-0.048349984	Yes	
row_92	DACT1	10047	-14.965947151184082	0.0041014706	Yes	
