NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	1970	1.3391138315200806	-0.18233997	No	
row_1	IFI30	2324	0.9838979840278625	-0.2073915	No	
row_2	EIF2AK2	2385	0.9136490821838379	-0.2040027	No	
row_3	CSF1	2973	0.47312983870506287	-0.25757515	No	
row_4	CCRL2	3843	0.11378835141658783	-0.3428943	No	
row_5	C1S	3984	0.07161195576190948	-0.35609376	No	
row_6	CXCL11	5765	-0.05217469111084938	-0.53270894	No	
row_7	EPSTI1	6008	-0.12774255871772766	-0.55548465	No	
row_8	ISG15	6078	-0.15850195288658142	-0.56072783	No	
row_9	ISG20	6114	-0.17601704597473145	-0.56240785	No	
row_10	IFI44	7128	-0.632351279258728	-0.6567456	No	
row_11	BST2	7348	-0.8004311323165894	-0.6703408	No	
row_12	IFI27	7530	-0.9204221367835999	-0.67892474	No	
row_13	IFI44L	7702	-1.0577589273452759	-0.6851066	No	
row_14	B2M	7749	-1.107138752937317	-0.67834216	No	
row_15	IFIH1	8061	-1.458154559135437	-0.6943551	Yes	
row_16	BATF2	8069	-1.4687860012054443	-0.68000436	Yes	
row_17	CD74	8195	-1.6142656803131104	-0.6759068	Yes	
row_18	IFITM3	8253	-1.7234402894973755	-0.66392326	Yes	
row_19	HERC6	8263	-1.7471569776535034	-0.64691967	Yes	
row_20	GBP2	8550	-2.21880841255188	-0.65265185	Yes	
row_21	CMPK2	8583	-2.2842142581939697	-0.6324352	Yes	
row_22	HLA-C	8600	-2.3099989891052246	-0.6103621	Yes	
row_23	GMPR	8635	-2.3697338104248047	-0.5894684	Yes	
row_24	IRF7	8637	-2.373422145843506	-0.5652527	Yes	
row_25	IFI35	8739	-2.6661179065704346	-0.5479906	Yes	
row_26	GBP4	8766	-2.7277634143829346	-0.52263284	Yes	
row_27	IRF9	8803	-2.8122973442077637	-0.49740422	Yes	
row_28	IFIT2	8810	-2.829704761505127	-0.46901157	Yes	
row_29	CNP	8817	-2.8507368564605713	-0.4404035	Yes	
row_30	IL15	8844	-2.911004066467285	-0.41316843	Yes	
row_31	IFITM2	8991	-3.373643636703491	-0.39313638	Yes	
row_32	CD47	9061	-3.546992540359497	-0.3636652	Yes	
row_33	ADAR	9063	-3.556610345840454	-0.32732797	Yes	
row_34	IFITM1	9172	-3.9797422885894775	-0.29730472	Yes	
row_35	IL7	9326	-4.5640411376953125	-0.26577395	Yes	
row_36	IRF2	9539	-5.896213054656982	-0.22646716	Yes	
row_37	LAMP3	9577	-6.190004348754883	-0.16673414	Yes	
row_38	IFIT3	9586	-6.267667770385742	-0.10331933	Yes	
row_39	IRF1	9691	-7.128105163574219	-0.040643647	Yes	
row_40	LGALS3BP	9766	-7.814147472381592	0.03204607	Yes	
