NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDAR	1249	2.6972663402557373	-0.10725344	No	
row_1	FGFR3	1867	1.4934779405593872	-0.159187	No	
row_2	KLK8	1958	1.357376217842102	-0.15933882	No	
row_3	CAMK1D	2031	1.2663625478744507	-0.15828462	No	
row_4	BRDT	2073	1.2304775714874268	-0.15436608	No	
row_5	GPR3	2099	1.1993184089660645	-0.14905147	No	
row_6	CDKAL1	2331	0.9784764647483826	-0.16576321	No	
row_7	BARD1	2560	0.754656970500946	-0.18363324	No	
row_8	KRT5	2574	0.7423259019851685	-0.18009648	No	
row_9	ASB7	2577	0.7394397854804993	-0.17547919	No	
row_10	KCNQ2	2630	0.6914697289466858	-0.1761714	No	
row_11	HTR1B	2707	0.6291990876197815	-0.17966786	No	
row_12	EGF	2853	0.5559602975845337	-0.1905373	No	
row_13	ARHGDIG	2991	0.4635292589664459	-0.20120937	No	
row_14	AMBN	3100	0.39451125264167786	-0.2094328	No	
row_15	GP1BA	3147	0.39451125264167786	-0.21145995	No	
row_16	GRID2	3150	0.39451125264167786	-0.20908974	No	
row_17	IL5	3210	0.3944733738899231	-0.21241635	No	
row_18	CLDN16	3336	0.3640839457511902	-0.222537	No	
row_19	ITGB1BP2	3441	0.28960153460502625	-0.23104411	No	
row_20	KCNE2	3559	0.24623358249664307	-0.24113297	No	
row_21	COPZ2	3567	0.24290984869003296	-0.2402501	No	
row_22	LGALS7B	3633	0.20535726845264435	-0.24540837	No	
row_23	CNTFR	3743	0.1460029035806656	-0.25535068	No	
row_24	IL12B	3903	0.10323397815227509	-0.2705686	No	
row_25	KCND1	4010	0.06221625953912735	-0.28075695	No	
row_26	COL2A1	4029	0.05292057245969772	-0.2822111	No	
row_27	DCC	4055	0.04786206781864166	-0.2843978	No	
row_28	GPR19	4089	0.03032034821808338	-0.2874983	No	
row_29	EDN1	4097	0.02587919309735298	-0.28802928	No	
row_30	CHRNG	4128	0.017265038564801216	-0.290915	No	
row_31	ABCB11	4189	0.0	-0.29691142	No	
row_32	CACNG1	4480	0.0	-0.32589403	No	
row_33	CCR8	4517	0.0	-0.32949185	No	
row_34	CD40LG	4534	0.0	-0.3310909	No	
row_35	CD80	4537	0.0	-0.33129078	No	
row_36	CPB1	4615	0.0	-0.33898616	No	
row_37	FGF22	4973	0.0	-0.37466475	No	
row_38	FSHB	5025	0.0	-0.3797617	No	
row_39	GDNF	5072	0.0	-0.38435894	No	
row_40	INSL5	5305	0.0	-0.40754503	No	
row_41	IRS4	5315	0.0	-0.4084445	No	
row_42	KCNMB1	5334	0.0	-0.41024342	No	
row_43	KRT1	5373	0.0	-0.41404113	No	
row_44	DLK2	5832	-0.07113958895206451	-0.45935023	No	
row_45	AKR1B10	5901	-0.08605097234249115	-0.46558556	No	
row_46	GPRC5C	5950	-0.10306929796934128	-0.4697112	No	
row_47	KRT4	6071	-0.1528979390859604	-0.48070794	No	
row_48	CYP11B2	6772	-0.4979623556137085	-0.54742193	No	
row_49	CLPS	6896	-0.49859756231307983	-0.5564664	No	
row_50	KLHDC8A	7031	-0.5611904263496399	-0.5662024	No	
row_51	CCDC106	7167	-0.6695916652679443	-0.57533216	No	
row_52	ABCG4	7191	-0.6866306066513062	-0.57315767	No	
row_53	CPEB3	7199	-0.6927501559257507	-0.5693442	No	
row_54	ENTPD7	7336	-0.7863336801528931	-0.57781345	No	
row_55	EDN2	7520	-0.9081656336784363	-0.5901861	No	
row_56	CD207	7573	-0.9557464718818665	-0.5891566	No	
row_57	KRT13	7611	-0.9883073568344116	-0.586416	No	
row_58	IFI44L	7702	-1.0577589273452759	-0.5885197	No	
row_59	CDH16	7918	-1.2885777950286865	-0.6016122	No	
row_60	CACNA1F	7919	-1.2895618677139282	-0.5932112	No	
row_61	GTF3C5	8148	-1.5559724569320679	-0.60586095	No	
row_62	ALOX12B	8167	-1.5834180116653442	-0.5973445	No	
row_63	ATP6V1B1	8280	-1.7698287963867188	-0.59700805	No	
row_64	IGFBP2	8517	-2.1409037113189697	-0.6066467	Yes	
row_65	KCNN1	8640	-2.37788724899292	-0.6033484	Yes	
row_66	ITIH3	8646	-2.396411657333374	-0.58823633	Yes	
row_67	ADRA2C	8726	-2.624190092086792	-0.579036	Yes	
row_68	HTR1D	8791	-2.7820851802825928	-0.56730795	Yes	
row_69	HNF1A	8824	-2.8740668296813965	-0.55178255	Yes	
row_70	DTNB	8857	-2.9588122367858887	-0.5357051	Yes	
row_71	H2AFY2	9215	-4.104628562927246	-0.5446436	Yes	
row_72	CAPN9	9338	-4.6244635581970215	-0.5267097	Yes	
row_73	HSD11B2	9495	-5.533212661743164	-0.50625354	Yes	
row_74	IDUA	9555	-5.990717887878418	-0.47312275	Yes	
row_75	EFHD1	9579	-6.201622009277344	-0.43502015	Yes	
row_76	FGGY	9690	-7.107616901397705	-0.39971012	Yes	
row_77	CELSR2	9748	-7.637656211853027	-0.35565028	Yes	
row_78	LFNG	9755	-7.67483377456665	-0.3062513	Yes	
row_79	CPA2	9905	-10.070234298706055	-0.2555386	Yes	
row_80	CLSTN3	9957	-11.260663986206055	-0.18727659	Yes	
row_81	CALCB	10005	-12.790230751037598	-0.108650275	Yes	
row_82	BTG2	10078	-17.935884475708008	9.995244E-4	Yes	
