NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	9	14.031243324279785	0.035644352	Yes	
row_1	HSPD1	26	11.812726020812988	0.06481235	Yes	
row_2	CACYBP	27	11.783480644226074	0.09550082	Yes	
row_3	IFRD1	29	11.653660774230957	0.1257514	Yes	
row_4	CYP51A1	31	11.470870971679688	0.15552594	Yes	
row_5	ETF1	54	10.634566307067871	0.18102683	Yes	
row_6	HMGCS1	65	10.293119430541992	0.20683596	Yes	
row_7	DDIT4	66	10.283082962036133	0.23361686	Yes	
row_8	EIF2S2	78	9.865241050720215	0.25821182	Yes	
row_9	ELOVL6	102	9.361949920654297	0.2802986	Yes	
row_10	DDIT3	114	9.160149574279785	0.30305725	Yes	
row_11	IDI1	115	9.159873962402344	0.3269129	Yes	
row_12	DHCR7	130	8.918763160705566	0.34874353	Yes	
row_13	CCT6A	153	8.580893516540527	0.36889592	Yes	
row_14	HMGCR	154	8.564939498901367	0.39120215	Yes	
row_15	HPRT1	164	8.37276840209961	0.41210976	Yes	
row_16	HSPA4	165	8.33224868774414	0.43380997	Yes	
row_17	CCNG1	173	8.22341251373291	0.4545282	Yes	
row_18	LDLR	218	7.523831844329834	0.46973222	Yes	
row_19	CORO1A	239	7.36080265045166	0.48690662	Yes	
row_20	EEF1E1	269	7.0965800285339355	0.50249475	Yes	
row_21	ACTR3	296	6.860869407653809	0.51776844	Yes	
row_22	INSIG1	297	6.8528733253479	0.5356158	Yes	
row_23	DDX39A	324	6.635358810424805	0.55030215	Yes	
row_24	DHCR24	343	6.467559337615967	0.5653498	Yes	
row_25	ACSL3	353	6.415603160858154	0.58116025	Yes	
row_26	CTSC	420	5.909409523010254	0.58996433	Yes	
row_27	CYB5B	446	5.7200117111206055	0.60236657	Yes	
row_28	CTH	478	5.53486967086792	0.6136879	Yes	
row_29	ABCF2	482	5.529007434844971	0.62778807	Yes	
row_30	AURKA	517	5.353287220001221	0.6383371	Yes	
row_31	ADIPOR2	529	5.31168794631958	0.651073	Yes	
row_32	GCLC	536	5.27545166015625	0.6642134	Yes	
row_33	ELOVL5	538	5.260478496551514	0.6778138	Yes	
row_34	ATP6V1D	617	4.872934341430664	0.6827211	Yes	
row_35	AK4	647	4.753984451293945	0.69220823	Yes	
row_36	EBP	712	4.4727678298950195	0.69747037	Yes	
row_37	EGLN3	728	4.376867771148682	0.7073725	Yes	
row_38	GLA	820	4.006568431854248	0.7087261	Yes	
row_39	COPS5	908	3.6739768981933594	0.7096127	Yes	
row_40	HMBS	1036	3.278550624847412	0.7054779	Yes	
row_41	CANX	1155	2.937302589416504	0.7013524	Yes	
row_42	HK2	1198	2.846011161804199	0.7045733	Yes	
row_43	ACACA	1244	2.7093310356140137	0.7071388	Yes	
row_44	CFP	1266	2.653207302093506	0.7119531	Yes	
row_45	ATP5G1	1281	2.609403610229492	0.71735185	Yes	
row_46	FGL2	1410	2.3174965381622314	0.71061426	No	
row_47	ACTR2	1413	2.312424659729004	0.7164371	No	
row_48	IMMT	1578	1.9776949882507324	0.70522213	No	
row_49	EDEM1	1694	1.7613790035247803	0.6983335	No	
row_50	FKBP2	1871	1.4871704578399658	0.6846435	No	
row_51	ATP2A2	2186	1.1022156476974487	0.65617985	No	
row_52	IFI30	2324	0.9838979840278625	0.645071	No	
row_53	FADS1	2914	0.5144293308258057	0.5876342	No	
row_54	GGA2	3373	0.3291844427585602	0.5427875	No	
row_55	DAPP1	3898	0.1051841750741005	0.49077123	No	
row_56	CXCR4	5569	-0.006771261338144541	0.32413882	No	
row_57	GLRX	5613	-0.022015098482370377	0.31990516	No	
row_58	IDH1	6587	-0.4038222134113312	0.22386077	No	
row_59	BCAT1	7022	-0.5548890233039856	0.18199685	No	
row_60	DHFR	7961	-1.3422366380691528	0.09188909	No	
row_61	GSK3B	8200	-1.6248804330825806	0.07237075	No	
row_62	FADS2	8920	-3.153337001800537	0.008833859	No	
row_63	FDXR	8943	-3.239816904067993	0.0150761325	No	
row_64	IGFBP5	9613	-6.4964776039123535	-0.03476448	No	
row_65	ADD3	9615	-6.51055383682251	-0.017908417	No	
row_66	CDKN1A	9683	-6.987496376037598	-0.006396392	No	
row_67	BTG2	10078	-17.935884475708008	9.97749E-4	No	
