NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX21	40	11.1948881149292	0.059442353	Yes	
row_1	EBNA1BP2	72	10.063833236694336	0.113372356	Yes	
row_2	DCAF13	84	9.792287826538086	0.16775364	Yes	
row_3	GNL3	120	9.046722412109375	0.21552354	Yes	
row_4	KRR1	142	8.737112045288086	0.26293218	Yes	
row_5	EXOSC9	162	8.39016056060791	0.30857423	Yes	
row_6	FBL	181	8.111790657043457	0.35273874	Yes	
row_7	EXOSC8	198	7.796610355377197	0.39531663	Yes	
row_8	EMG1	203	7.755917549133301	0.4388578	Yes	
row_9	C1D	350	6.419345378875732	0.4607004	Yes	
row_10	IMP4	378	6.254244804382324	0.49344614	Yes	
row_11	ERI1	426	5.881773948669434	0.52209204	Yes	
row_12	BOP1	438	5.781616687774658	0.55375195	Yes	
row_13	DIS3	442	5.768359661102295	0.58613265	Yes	
row_14	EXOSC7	458	5.66855525970459	0.61675406	Yes	
row_15	DDX47	506	5.389051914215088	0.64260864	Yes	
row_16	BMS1	581	5.043147087097168	0.6638175	Yes	
row_17	HEATR1	614	4.892071723937988	0.68834877	Yes	
row_18	BYSL	670	4.647589683532715	0.70920694	Yes	
row_19	DDX52	684	4.59788179397583	0.7339617	Yes	
row_20	IMP3	930	3.5874686241149902	0.7299123	Yes	
row_21	LAS1L	969	3.5072338581085205	0.74600124	Yes	
row_22	DHX37	1052	3.2148895263671875	0.7560568	Yes	
row_23	EXOSC3	1056	3.2009222507476807	0.7738923	Yes	
row_24	EXOSC1	1148	2.9529829025268555	0.7815687	Yes	
row_25	FTSJ3	1180	2.8871233463287354	0.794841	Yes	
row_26	EXOSC4	1228	2.754869222640991	0.8057723	Yes	
row_27	FCF1	1335	2.4754300117492676	0.809251	Yes	
row_28	EXOSC2	1369	2.412384271621704	0.8196348	Yes	
row_29	EXOSC6	1426	2.2859675884246826	0.8270143	Yes	
row_30	EXOSC10	1766	1.6335777044296265	0.8025443	No	
row_31	FAU	2021	1.2753024101257324	0.78450054	No	
row_32	ISG20L2	2179	1.1077417135238647	0.7751574	No	
row_33	EXOSC5	2471	0.8300139307975769	0.75091016	No	
row_34	DDX49	2910	0.517422080039978	0.710268	No	
row_35	CSNK1E	4095	0.02665008045732975	0.5926315	No	
row_36	CSNK1D	7098	-0.6122836470603943	0.2974532	No	
