NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA1A	20	12.28713321685791	0.018318988	Yes	
row_1	DDX21	40	11.1948881149292	0.034930937	Yes	
row_2	ETF1	54	10.634566307067871	0.051221635	Yes	
row_3	DKC1	64	10.29647159576416	0.06735686	Yes	
row_4	EBNA1BP2	72	10.063833236694336	0.083309084	Yes	
row_5	DCAF13	84	9.792287826538086	0.09840758	Yes	
row_6	GNL3	120	9.046722412109375	0.10984666	Yes	
row_7	DIMT1	137	8.790138244628906	0.12278096	Yes	
row_8	KRR1	142	8.737112045288086	0.13684009	Yes	
row_9	EXOSC9	162	8.39016056060791	0.14880912	Yes	
row_10	GSPT1	179	8.128761291503906	0.16064858	Yes	
row_11	BUD31	180	8.123379707336426	0.17409594	Yes	
row_12	FBL	181	8.111790657043457	0.18752412	Yes	
row_13	EXOSC8	198	7.796610355377197	0.19881375	Yes	
row_14	EMG1	203	7.755917549133301	0.21124862	Yes	
row_15	DDX1	216	7.538700580596924	0.22251551	Yes	
row_16	GAR1	219	7.523563385009766	0.23476784	Yes	
row_17	GEMIN5	249	7.244244575500488	0.24382941	Yes	
row_18	HSPA8	260	7.153971195220947	0.25466153	Yes	
row_19	CCNH	282	7.004861354827881	0.26413524	Yes	
row_20	GTF2F2	286	6.96824836730957	0.27536726	Yes	
row_21	HNRNPD	314	6.697688102722168	0.2837262	Yes	
row_22	DDX39A	324	6.635358810424805	0.29380083	Yes	
row_23	C2orf49	328	6.603283882141113	0.3044287	Yes	
row_24	C1D	350	6.419345378875732	0.31293315	Yes	
row_25	GTF2H1	360	6.35994291305542	0.32255188	Yes	
row_26	IMP4	378	6.254244804382324	0.33118725	Yes	
row_27	CSTF3	400	6.054178714752197	0.3390872	Yes	
row_28	GEMIN6	422	5.903585433959961	0.34673786	Yes	
row_29	ERI1	426	5.881773948669434	0.35617134	Yes	
row_30	BOP1	438	5.781616687774658	0.36463064	Yes	
row_31	DIS3	442	5.768359661102295	0.37387636	Yes	
row_32	EXOSC7	458	5.66855525970459	0.38174427	Yes	
row_33	DDX46	467	5.608621597290039	0.3902203	Yes	
row_34	DDX47	506	5.389051914215088	0.39530137	Yes	
row_35	DHX15	511	5.36850643157959	0.40378416	Yes	
row_36	CNOT7	573	5.0691423416137695	0.40601146	Yes	
row_37	BMS1	581	5.043147087097168	0.41365248	Yes	
row_38	DNAJC8	591	4.981522560119629	0.4209894	Yes	
row_39	ANP32A	592	4.974752426147461	0.42922455	Yes	
row_40	CWC27	594	4.967068195343018	0.43734592	Yes	
row_41	CWC22	609	4.908259391784668	0.4440563	Yes	
