NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUD31	180	8.123379707336426	0.033818927	Yes	
row_1	HSPA8	260	7.153971195220947	0.07153101	Yes	
row_2	GTF2F2	286	6.96824836730957	0.11344395	Yes	
row_3	HNRNPD	314	6.697688102722168	0.15343331	Yes	
row_4	DDX46	467	5.608621597290039	0.17401864	Yes	
row_5	DHX15	511	5.36850643157959	0.2039423	Yes	
row_6	DNAJC8	591	4.981522560119629	0.2278103	Yes	
row_7	CWC27	594	4.967068195343018	0.2592639	Yes	
row_8	CWC22	609	4.908259391784668	0.2891462	Yes	
row_9	EIF4A3	691	4.575502872467041	0.3102274	Yes	
row_10	ALYREF	694	4.567442893981934	0.33913437	Yes	
row_11	CDC5L	696	4.559426307678223	0.36808994	Yes	
row_12	HNRNPU	698	4.555227756500244	0.3970188	Yes	
row_13	BCAS2	721	4.426178932189941	0.42303133	Yes	
row_14	HNRNPC	759	4.211627960205078	0.44618094	Yes	
row_15	DHX9	773	4.169318199157715	0.47145402	Yes	
row_16	HNRNPF	822	3.9956765174865723	0.49213067	Yes	
row_17	CWC15	842	3.9307546615600586	0.5152852	Yes	
row_18	CDC40	901	3.6950442790985107	0.5330489	Yes	
row_19	HNRNPR	966	3.5124547481536865	0.5490508	Yes	
row_20	C9orf78	975	3.4817094802856445	0.5704406	Yes	
row_21	CRNKL1	1040	3.264275074005127	0.584861	Yes	
row_22	HNRNPA1	1113	3.0405476093292236	0.59705794	Yes	
row_23	EFTUD2	1117	3.0289454460144043	0.616061	Yes	
row_24	CWC25	1164	2.9182209968566895	0.63007087	Yes	
row_25	HNRNPM	1172	2.903573513031006	0.64787614	Yes	
row_26	CCDC12	1269	2.634823799133301	0.6550945	Yes	
row_27	HNRNPA2B1	1277	2.6165452003479004	0.6710707	Yes	
row_28	DDX5	1437	2.261324644088745	0.66962713	Yes	
row_29	HNRNPA3	1447	2.2406668663024902	0.68300855	Yes	
row_30	GCFC2	1482	2.15215802192688	0.6933332	Yes	
row_31	CWF19L2	1497	2.1196906566619873	0.7054451	Yes	
row_32	DHX35	1550	2.0341198444366455	0.71322274	Yes	
row_33	LENG1	1585	1.9645689725875854	0.72235197	Yes	
row_34	CCAR1	1605	1.9115378856658936	0.7326389	Yes	
row_35	CTNNBL1	1672	1.804951786994934	0.73756015	Yes	
row_36	HNRNPK	1688	1.7685097455978394	0.7473345	Yes	
row_37	DHX38	1989	1.3164918422698975	0.72581065	No	
row_38	GTF2F1	1997	1.307748556137085	0.7334464	No	
row_39	DDX42	2172	1.117019534111023	0.72321504	No	
row_40	ISY1	2362	0.9426148533821106	0.71037656	No	
row_41	FUS	2428	0.875288188457489	0.7094732	No	
row_42	DDX23	2469	0.8317963480949402	0.71078545	No	
row_43	AQR	2733	0.6203309893608093	0.68851465	No	
row_44	DDX41	2734	0.6199042797088623	0.692465	No	
row_45	HNRNPH2	2770	0.6041459441184998	0.6928251	No	
row_46	IK	2855	0.5532608032226562	0.6879751	No	
row_47	HTATSF1	2859	0.5486359596252441	0.6911722	No	
row_48	GPATCH1	2959	0.48325011134147644	0.68438035	No	
row_49	GPKOW	3092	0.3962551951408386	0.67374367	No	
row_50	HNRNPL	3444	0.2887248396873474	0.6405851	No	
row_51	HNRNPH1	3451	0.28572049736976624	0.6418076	No	
row_52	CHERP	3690	0.16950508952140808	0.6191566	No	
row_53	BUD13	3995	0.06751085072755814	0.58927476	No	
row_54	DHX16	5801	-0.061839792877435684	0.40969077	No	
row_55	DHX8	6113	-0.1756761074066162	0.3798002	No	
row_56	FAM32A	6620	-0.421589732170105	0.33203313	No	
row_57	DDX39B	6629	-0.425437867641449	0.3339466	No	
row_58	ACIN1	7448	-0.8315789699554443	0.2576824	No	
row_59	CASC3	7474	-0.8559097051620483	0.26064402	No	
