NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP51A1	31	11.470870971679688	0.04391791	No	
row_1	HSP90AB1	211	7.6593804359436035	0.05741766	No	
row_2	CYB5B	446	5.7200117111206055	0.057469953	No	
row_3	CYP24A1	580	5.05064582824707	0.0648756	No	
row_4	CYP27B1	902	3.6949400901794434	0.04793011	No	
row_5	CYP4F8	1924	1.4038454294204712	-0.048385166	No	
row_6	AHR	2155	1.1360002756118774	-0.06672201	No	
row_7	AOC2	2383	0.914079487323761	-0.08566856	No	
row_8	CYP1A1	2552	0.7602734565734863	-0.0993473	No	
row_9	CYP2R1	2563	0.7535014748573303	-0.09725854	No	
row_10	ADH5	2566	0.7519484758377075	-0.09437638	No	
row_11	CYP19A1	2717	0.6291155219078064	-0.106793255	No	
row_12	AIP	2739	0.614266037940979	-0.10637486	No	
row_13	ADH1B	2752	0.6042622923851013	-0.10509774	No	
row_14	ADH7	2759	0.6041459441184998	-0.103221275	No	
row_15	CYP4A11	2766	0.6041459441184998	-0.10134482	No	
row_16	CYP4F11	3034	0.43425050377845764	-0.1262569	No	
row_17	FMO2	3197	0.3944733738899231	-0.14083517	No	
row_18	ADH1A	3220	0.3943789005279541	-0.14141801	No	
row_19	CYP2F1	3252	0.3943789005279541	-0.1429006	No	
row_20	AOC3	3564	0.24415980279445648	-0.1729905	No	
row_21	CYP4B1	3569	0.24222810566425323	-0.17239754	No	
row_22	CYP2J2	3573	0.24009618163108826	-0.17171334	No	
row_23	CYP7B1	3722	0.15738756954669952	-0.1858638	No	
row_24	CYP4F2	3746	0.1451854407787323	-0.18756802	No	
row_25	CYP21A2	3832	0.11421676725149155	-0.19559732	No	
row_26	FDX1	3916	0.09881030768156052	-0.20348983	No	
row_27	CMBL	3972	0.07326683402061462	-0.20868786	No	
row_28	ADH1C	3999	0.0655592679977417	-0.21101837	No	
row_29	CYP2C9	4012	0.06187024340033531	-0.21196441	No	
row_30	CYP4F22	4150	0.010943910107016563	-0.22561544	No	
row_31	ADH4	4217	0.0	-0.23221347	No	
row_32	CYP1A2	4693	0.0	-0.2796992	No	
row_33	CYP2A13	4695	0.0	-0.2797992	No	
row_34	CYP2A6	4696	0.0	-0.2797992	No	
row_35	CYP4A22	4697	0.0	-0.2797992	No	
row_36	CYP7A1	4700	0.0	-0.27999914	No	
row_37	CYP2C18	5850	-0.0738869234919548	-0.39456183	No	
row_38	CBR3	6209	-0.22407250106334686	-0.42943266	No	
row_39	CYP26A1	6298	-0.2547905147075653	-0.43718567	No	
row_40	CYP46A1	6363	-0.27309471368789673	-0.44246438	No	
row_41	CYP11A1	6551	-0.38497745990753174	-0.45958084	No	
row_42	CYP2U1	6701	-0.47563162446022034	-0.47252682	No	
row_43	CYP11B1	6771	-0.4979623556137085	-0.4773837	No	
row_44	CYP11B2	6772	-0.4979623556137085	-0.47534266	No	
row_45	CYP26C1	6773	-0.4979623556137085	-0.4733016	No	
row_46	CYP2A7	6832	-0.49811428785324097	-0.47705817	No	
row_47	CYP8B1	6833	-0.49811428785324097	-0.4750165	No	
row_48	CYP2C19	6972	-0.5175021290779114	-0.4866912	No	
row_49	CYP27A1	7179	-0.6781716346740723	-0.50450534	No	
row_50	CYP2C8	7229	-0.712237536907196	-0.5064845	No	
row_51	CYP2D6	7295	-0.7691065073013306	-0.5098302	No	
row_52	CYP3A43	7339	-0.7932599186897278	-0.51087743	No	
row_53	AADAC	7356	-0.8057035803794861	-0.5091745	No	
row_54	ALDH1B1	7516	-0.904120147228241	-0.5213639	No	
row_55	CYP2S1	7770	-1.1246719360351562	-0.54204655	No	
row_56	CYP1B1	7814	-1.1725873947143555	-0.541539	No	
