NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIF	28	11.72445011138916	0.96471804	Yes	
row_1	IFNA5	3875	0.11033555120229721	0.5919343	No	
row_2	IFNA10	5258	0.0	0.4547086	No	
row_3	IFNA13	5259	0.0	0.4547086	No	
row_4	IFNA14	5260	0.0	0.4547086	No	
row_5	IFNA16	5261	0.0	0.4547086	No	
row_6	IFNA17	5262	0.0	0.4547086	No	
row_7	IFNA2	5263	0.0	0.4547086	No	
row_8	IFNA21	5264	0.0	0.4547086	No	
row_9	IFNA4	5265	0.0	0.4547086	No	
row_10	IFNA6	5266	0.0	0.4547086	No	
row_11	IFNA7	5267	0.0	0.4547086	No	
row_12	IFNA8	5268	0.0	0.4547086	No	
row_13	IFNB1	5269	0.0	0.4547086	No	
row_14	IFNG	5270	0.0	0.4547086	No	
row_15	IFNK	5271	0.0	0.4547086	No	
row_16	IFNW1	5272	0.0	0.4547086	No	
row_17	IFNE	6400	-0.2835305333137512	0.36619997	No	
