NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUD31	180	8.123379707336426	0.022546582	Yes	
row_1	HSPA8	260	7.153971195220947	0.05034498	Yes	
row_2	GTF2F2	286	6.96824836730957	0.08261039	Yes	
row_3	HNRNPD	314	6.697688102722168	0.1133263	Yes	
row_4	DDX39A	324	6.635358810424805	0.14552912	Yes	
row_5	CSTF3	400	6.054178714752197	0.16824052	Yes	
row_6	DDX46	467	5.608621597290039	0.1896281	Yes	
row_7	DHX15	511	5.36850643157959	0.21211505	Yes	
row_8	DNAJC8	591	4.981522560119629	0.22907577	Yes	
row_9	CWC27	594	4.967068195343018	0.25365517	Yes	
row_10	CWC22	609	4.908259391784668	0.27674264	Yes	
row_11	EIF4A3	691	4.575502872467041	0.2914781	Yes	
row_12	ALYREF	694	4.567442893981934	0.31406388	Yes	
row_13	CDC5L	696	4.559426307678223	0.33670956	Yes	
row_14	HNRNPU	698	4.555227756500244	0.3593343	Yes	
row_15	BCAS2	721	4.426178932189941	0.37921774	Yes	
row_16	HNRNPC	759	4.211627960205078	0.39653268	Yes	
row_17	DHX9	773	4.169318199157715	0.41603366	Yes	
row_18	HNRNPF	822	3.9956765174865723	0.4311726	Yes	
row_19	CWC15	842	3.9307546615600586	0.4488842	Yes	
row_20	CDC40	901	3.6950442790985107	0.46152458	Yes	
row_21	CPSF3	946	3.5536646842956543	0.47485796	Yes	
row_22	CPSF2	949	3.5463919639587402	0.49235004	Yes	
row_23	HNRNPR	966	3.5124547481536865	0.5082745	Yes	
row_24	C9orf78	975	3.4817094802856445	0.52484465	Yes	
row_25	CSTF2	1039	3.271768569946289	0.534874	Yes	
row_26	CRNKL1	1040	3.264275074005127	0.5511584	Yes	
row_27	EIF4E	1099	3.0881338119506836	0.56077117	Yes	
row_28	HNRNPA1	1113	3.0405476093292236	0.57464105	Yes	
row_29	EFTUD2	1117	3.0289454460144043	0.58945185	Yes	
row_30	CLP1	1119	3.022498607635498	0.6044303	Yes	
row_31	CWC25	1164	2.9182209968566895	0.6145937	Yes	
row_32	HNRNPM	1172	2.903573513031006	0.6283795	Yes	
row_33	CCDC12	1269	2.634823799133301	0.63193536	Yes	
row_34	HNRNPA2B1	1277	2.6165452003479004	0.6442893	Yes	
row_35	FIP1L1	1305	2.55580472946167	0.65434265	Yes	
row_36	CPSF4	1374	2.400078773498535	0.659524	Yes	
row_37	DDX5	1437	2.261324644088745	0.66461253	Yes	
row_38	HNRNPA3	1447	2.2406668663024902	0.6748916	Yes	
row_39	GCFC2	1482	2.15215802192688	0.6822321	Yes	
row_40	CWF19L2	1497	2.1196906566619873	0.6914083	Yes	
row_41	DHX35	1550	2.0341198444366455	0.6963621	Yes	
row_42	LENG1	1585	1.9645689725875854	0.7027668	Yes	
row_43	CCAR1	1605	1.9115378856658936	0.7104051	Yes	
row_44	FYTTD1	1663	1.8161685466766357	0.71377224	Yes	
row_45	CTNNBL1	1672	1.804951786994934	0.72197753	Yes	
row_46	HNRNPK	1688	1.7685097455978394	0.72930187	Yes	
row_47	DHX38	1989	1.3164918422698975	0.70590544	No	
row_48	GTF2F1	1997	1.307748556137085	0.7117302	No	
row_49	DDX42	2172	1.117019534111023	0.6999235	No	
row_50	ISY1	2362	0.9426148533821106	0.6857486	No	
row_51	FUS	2428	0.875288188457489	0.6836229	No	
row_52	DDX23	2469	0.8317963480949402	0.6837773	No	
row_53	CHTOP	2571	0.743091881275177	0.6773965	No	
row_54	AQR	2733	0.6203309893608093	0.6644104	No	
row_55	DDX41	2734	0.6199042797088623	0.6675029	No	
row_56	HNRNPH2	2770	0.6041459441184998	0.667021	No	
row_57	IK	2855	0.5532608032226562	0.6613911	No	
row_58	HTATSF1	2859	0.5486359596252441	0.66382843	No	
row_59	CSTF1	2944	0.4912084937095642	0.657889	No	
row_60	GPATCH1	2959	0.48325011134147644	0.65890145	No	
row_61	GPKOW	3092	0.3962551951408386	0.64769405	No	
row_62	HNRNPL	3444	0.2887248396873474	0.6140765	No	
row_63	HNRNPH1	3451	0.28572049736976624	0.61490256	No	
row_64	CHERP	3690	0.16950508952140808	0.5919767	No	
row_65	BUD13	3995	0.06751085072755814	0.56194997	No	
row_66	DHX16	5801	-0.061839792877435684	0.3819748	No	
row_67	GLE1	6063	-0.14937755465507507	0.35665128	No	
row_68	CSTF2T	6090	-0.16627193987369537	0.35488385	No	
row_69	DHX8	6113	-0.1756761074066162	0.3535629	No	
row_70	FAM32A	6620	-0.421589732170105	0.30512673	No	
row_71	DDX39B	6629	-0.425437867641449	0.30645007	No	
row_72	CPSF7	6676	-0.4539564251899719	0.3041202	No	
row_73	ACIN1	7448	-0.8315789699554443	0.23126112	No	
row_74	CASC3	7474	-0.8559097051620483	0.23303398	No	
row_75	CPSF1	8717	-2.5950160026550293	0.12192857	No	
row_76	AAAS	8872	-2.9881978034973145	0.12145422	No	
