NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL10	1940	1.3897100687026978	-0.17056356	No	
row_1	FGB	2491	0.8196024298667908	-0.2121663	No	
row_2	IL1RN	3489	0.2758967876434326	-0.3067761	No	
row_3	APOA1	3826	0.11444827169179916	-0.33832005	No	
row_4	FGG	4978	0.0	-0.45259726	No	
row_5	IL1B	5566	-0.005654072389006615	-0.5107879	No	
row_6	FGA	7055	-0.5745503306388855	-0.6494082	No	
row_7	AGER	7071	-0.5869005918502808	-0.6415855	No	
row_8	ADIPOQ	7394	-0.8069868683815002	-0.6607514	No	
row_9	FLOT1	7745	-1.0946911573410034	-0.6781324	No	
row_10	KLF4	7875	-1.2338168621063232	-0.67136407	No	
row_11	GCNT2	8332	-1.8477369546890259	-0.68732125	Yes	
row_12	LCK	8429	-2.0100276470184326	-0.6649608	Yes	
row_13	BMP7	9832	-8.893775939941406	-0.6630468	Yes	
row_14	FLOT2	9843	-9.101629257202148	-0.51962996	Yes	
row_15	CD44	10070	-17.024423599243164	-0.27195287	Yes	
row_16	CEACAM6	10072	-17.246604919433594	0.0015885598	Yes	
