NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIF	28	11.72445011138916	0.50364846	Yes	
row_1	GADD45A	43	11.032905578613281	0.97881645	Yes	
row_2	IFNA5	3875	0.11033555120229721	0.60314536	No	
row_3	IFNA10	5258	0.0	0.46590605	No	
row_4	IFNA13	5259	0.0	0.46590605	No	
row_5	IFNA14	5260	0.0	0.46590605	No	
row_6	IFNA16	5261	0.0	0.46590605	No	
row_7	IFNA17	5262	0.0	0.46590605	No	
row_8	IFNA2	5263	0.0	0.46590605	No	
row_9	IFNA21	5264	0.0	0.46590605	No	
row_10	IFNA4	5265	0.0	0.46590605	No	
row_11	IFNA6	5266	0.0	0.46590605	No	
row_12	IFNA7	5267	0.0	0.46590605	No	
row_13	IFNA8	5268	0.0	0.46590605	No	
row_14	IFNB1	5269	0.0	0.46590605	No	
row_15	IFNG	5270	0.0	0.46590605	No	
row_16	IFNK	5271	0.0	0.46590605	No	
row_17	IFNW1	5272	0.0	0.46590605	No	
row_18	IFNE	6400	-0.2835305333137512	0.36623636	No	
