NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A2	1230	2.749926805496216	-0.09561789	No	
row_1	AKR1B1	1781	1.6225897073745728	-0.13454683	No	
row_2	HSD17B6	2171	1.1196340322494507	-0.1623527	No	
row_3	CYP1A1	2552	0.7602734565734863	-0.19276288	No	
row_4	DHRS4L2	2594	0.7252181172370911	-0.18977977	No	
row_5	ADH1B	2752	0.6042622923851013	-0.19951813	No	
row_6	ADH7	2759	0.6041459441184998	-0.19423124	No	
row_7	DHRS9	3124	0.39451125264167786	-0.2266115	No	
row_8	ADH1A	3220	0.3943789005279541	-0.2322242	No	
row_9	DHRS4	3428	0.29856833815574646	-0.24991542	No	
row_10	ALDH1A3	3527	0.26504069566726685	-0.25708634	No	
row_11	BCO2	3624	0.20938265323638916	-0.26460028	No	
row_12	ADH1C	3999	0.0655592679977417	-0.3011794	No	
row_13	ADH4	4217	0.0	-0.3227736	No	
row_14	AWAT2	4295	0.0	-0.33043605	No	
row_15	CYP1A2	4693	0.0	-0.3699425	No	
row_16	CYP2C18	5850	-0.0738869234919548	-0.4842592	No	
row_17	AKR1B10	5901	-0.08605097234249115	-0.48839673	No	
row_18	CYP26A1	6298	-0.2547905147075653	-0.52532214	No	
row_19	CYP27C1	6379	-0.28055062890052795	-0.5305508	No	
row_20	ALDH8A1	6437	-0.3096616268157959	-0.5332071	No	
row_21	CYP26C1	6773	-0.4979623556137085	-0.56169397	No	
row_22	CYP2C8	7229	-0.712237536907196	-0.6000354	No	
row_23	DHRS3	7272	-0.7502997517585754	-0.59690756	No	
row_24	CYP2D6	7295	-0.7691065073013306	-0.59160626	No	
row_25	CYP2S1	7770	-1.1246719360351562	-0.6278216	No	
row_26	CYP1B1	7814	-1.1725873947143555	-0.62068045	No	
row_27	DHRS4L1	8359	-1.8849204778671265	-0.6564574	No	
row_28	CYP3A4	8645	-2.395867347717285	-0.66148436	Yes	
row_29	CYP4V2	8652	-2.4151995182037354	-0.6385591	Yes	
row_30	AKR1C4	8673	-2.4821736812591553	-0.61637473	Yes	
row_31	CYP3A5	8996	-3.39113187789917	-0.6153905	Yes	
row_32	ADH6	9029	-3.4730846881866455	-0.58474946	Yes	
row_33	ABCA4	9380	-4.802950382232666	-0.5728015	Yes	
row_34	AKR1C1	9438	-5.048511505126953	-0.52930474	Yes	
row_35	AKR1C3	9856	-9.281120300292969	-0.4804098	Yes	
row_36	ALDH1A1	9933	-10.769326210021973	-0.3830871	Yes	
row_37	CYP3A7	9973	-11.624098777770996	-0.27375755	Yes	
row_38	CYP26B1	10037	-14.260682106018066	-0.14113784	Yes	
row_39	CYP2W1	10048	-15.002490043640137	0.0039807386	Yes	
