NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	3826	0.11444827169179916	-0.37793648	No	
row_1	APOA2	4252	0.0	-0.4201285	No	
row_2	APOA4	4253	0.0	-0.4201285	No	
row_3	APOC2	4257	0.0	-0.4204263	No	
row_4	APOC3	4258	0.0	-0.4204263	No	
row_5	APOE	6026	-0.13486003875732422	-0.5936178	No	
row_6	CETP	6823	-0.49811428785324097	-0.6644117	No	
row_7	APOM	8088	-1.4995838403701782	-0.76512146	No	
row_8	ABCG1	8909	-3.1250152587890625	-0.7948997	Yes	
row_9	LCAT	9258	-4.283529281616211	-0.7586806	Yes	
row_10	ABCA1	9322	-4.532477855682373	-0.69005513	Yes	
row_11	CLU	9685	-7.004208564758301	-0.61027825	Yes	
row_12	CES1	9768	-7.867644309997559	-0.48843974	Yes	
row_13	ABCA5	9797	-8.239312171936035	-0.35510013	Yes	
row_14	LIPG	9918	-10.326844215393066	-0.19640632	Yes	
row_15	LIPC	10010	-12.904032707214355	0.0077434676	Yes	
