NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QBP	37	11.333257675170898	0.018811595	Yes	
row_1	HSP90AA1	38	11.289321899414062	0.04124701	Yes	
row_2	ABCE1	41	11.160412788391113	0.06322564	Yes	
row_3	DKC1	64	10.29647159576416	0.08148134	Yes	
row_4	EBNA1BP2	72	10.063833236694336	0.10077921	Yes	
row_5	EIF2S2	78	9.865241050720215	0.11988303	Yes	
row_6	BRIX1	79	9.844706535339355	0.13944754	Yes	
row_7	DCAF13	84	9.792287826538086	0.15850668	Yes	
row_8	DDX18	112	9.18028450012207	0.17404266	Yes	
row_9	EIF3J	117	9.120237350463867	0.19176622	Yes	
row_10	GTPBP4	129	8.920455932617188	0.20839065	Yes	
row_11	DIMT1	137	8.790138244628906	0.22515729	Yes	
row_12	KRR1	142	8.737112045288086	0.24211946	Yes	
row_13	EXOSC9	162	8.39016056060791	0.2568876	Yes	
row_14	DDX10	175	8.183899879455566	0.27194798	Yes	
row_15	FBL	181	8.111790657043457	0.28756714	Yes	
row_16	EXOSC8	198	7.796610355377197	0.30145663	Yes	
row_17	EMG1	203	7.755917549133301	0.31646886	Yes	
row_18	HSP90AB1	211	7.6593804359436035	0.33098835	Yes	
row_19	DDX1	216	7.538700580596924	0.3455689	Yes	
row_20	GAR1	219	7.523563385009766	0.36031997	Yes	
row_21	GEMIN5	249	7.244244575500488	0.3718078	Yes	
row_22	DNTTIP2	253	7.202516555786133	0.38582057	Yes	
row_23	EIF3M	265	7.1127800941467285	0.3988526	Yes	
row_24	ESF1	308	6.7482590675354	0.40805086	Yes	
row_25	GRWD1	345	6.440395355224609	0.4172391	Yes	
row_26	C1D	350	6.419345378875732	0.42959514	Yes	
row_27	IMP4	378	6.254244804382324	0.43931615	Yes	
row_28	EIF3B	385	6.20159912109375	0.45103887	Yes	
row_29	DENR	399	6.05901575088501	0.46177614	Yes	
row_30	GEMIN6	422	5.903585433959961	0.47130176	Yes	
row_31	ERI1	426	5.881773948669434	0.4826898	Yes	
row_32	BOP1	438	5.781616687774658	0.49307638	Yes	
row_33	DIS3	442	5.768359661102295	0.504239	Yes	
row_34	EXOSC7	458	5.66855525970459	0.5139997	Yes	
row_35	DDX46	467	5.608621597290039	0.5243434	Yes	
row_36	EIF2A	485	5.521958351135254	0.53361213	Yes	
row_37	CUL4A	493	5.458935260772705	0.54375863	Yes	
row_38	DDX47	506	5.389051914215088	0.55326474	Yes	
row_39	DDX31	519	5.345169544219971	0.56268364	Yes	
row_40	EIF3A	577	5.056820869445801	0.567016	Yes	
row_41	BMS1	581	5.043147087097168	0.5767374	Yes	
row_42	HEATR1	614	4.892071723937988	0.58324987	Yes	
row_43	C1orf109	632	4.789515018463135	0.59106296	Yes	
row_44	CLNS1A	633	4.784346103668213	0.600571	Yes	
row_45	EIF3E	634	4.782342910766602	0.610075	Yes	
row_46	BYSL	670	4.647589683532715	0.6158007	Yes	
row_47	GEMIN2	675	4.635707378387451	0.6246121	Yes	
row_48	KRI1	677	4.625921249389648	0.6337049	Yes	
row_49	DDX52	684	4.59788179397583	0.6422405	Yes	
row_50	C1orf131	723	4.414125919342041	0.64720136	Yes	
row_51	GTF3A	742	4.313354015350342	0.6539679	Yes	
row_52	COIL	763	4.20019006729126	0.660309	Yes	
row_53	DHX9	773	4.169318199157715	0.66769207	Yes	
row_54	EIF3I	821	4.005779266357422	0.6709386	Yes	
row_55	DDX20	860	3.865669012069702	0.6748095	Yes	
row_56	EIF5	881	3.799145221710205	0.6803536	Yes	
row_57	EIF6	910	3.6627585887908936	0.68482417	Yes	
row_58	FDXACB1	928	3.592913866043091	0.69025934	Yes	
row_59	IMP3	930	3.5874686241149902	0.69728845	Yes	
row_60	EIF2S3	934	3.582651138305664	0.7041074	Yes	
row_61	LAS1L	969	3.5072338581085205	0.7076671	Yes	
row_62	ABT1	972	3.4988443851470947	0.71441984	Yes	
row_63	DDX3X	1008	3.3788750171661377	0.7176242	Yes	
row_64	DDX27	1033	3.288780927658081	0.72175276	Yes	
row_65	CRNKL1	1040	3.264275074005127	0.7276381	Yes	
row_66	DHX37	1052	3.2148895263671875	0.7329238	Yes	
row_67	EXOSC3	1056	3.2009222507476807	0.7389841	Yes	
row_68	CLP1	1119	3.022498607635498	0.73877215	Yes	
row_69	FTSJ3	1180	2.8871233463287354	0.7384917	Yes	
row_70	CINP	1181	2.885664224624634	0.7442264	Yes	
row_71	EXOSC4	1228	2.754869222640991	0.7450874	Yes	
row_72	CDC73	1321	2.508863925933838	0.74084556	Yes	
row_73	DDX54	1334	2.4756686687469482	0.7445619	Yes	
row_74	FCF1	1335	2.4754300117492676	0.7494813	Yes	
row_75	DDX28	1353	2.444615602493286	0.75263447	Yes	
row_76	EXOSC2	1369	2.412384271621704	0.7559241	Yes	
row_77	FASTKD2	1382	2.3807318210601807	0.75945175	Yes	
row_78	ERI2	1386	2.3738865852355957	0.7638685	Yes	
row_79	EIF3K	1396	2.3582603931427	0.7676524	Yes	
row_80	EIF3H	1466	2.202183723449707	0.76510805	Yes	
row_81	GCFC2	1482	2.15215802192688	0.76788056	Yes	
row_82	EXOSC10	1766	1.6335777044296265	0.7427418	No	
row_83	EIF3D	1866	1.493714451789856	0.73578054	No	
row_84	GEMIN7	2002	1.3062288761138916	0.72483575	No	
row_85	HEATR3	2035	1.2624220848083496	0.724135	No	
