NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKC1	64	10.29647159576416	0.04174704	Yes	
row_1	EBNA1BP2	72	10.063833236694336	0.088080265	Yes	
row_2	DCAF13	84	9.792287826538086	0.13274637	Yes	
row_3	DDX18	112	9.18028450012207	0.17295998	Yes	
row_4	DIMT1	137	8.790138244628906	0.21164897	Yes	
row_5	EXOSC9	162	8.39016056060791	0.24846879	Yes	
row_6	DDX10	175	8.183899879455566	0.28551912	Yes	
row_7	FBL	181	8.111790657043457	0.32292917	Yes	
row_8	EXOSC8	198	7.796610355377197	0.35777152	Yes	
row_9	EMG1	203	7.755917549133301	0.39361805	Yes	
row_10	GAR1	219	7.523563385009766	0.4272839	Yes	
row_11	ESF1	308	6.7482590675354	0.4500608	Yes	
row_12	C1D	350	6.419345378875732	0.47597864	Yes	
row_13	IMP4	378	6.254244804382324	0.50251836	Yes	
row_14	ERI1	426	5.881773948669434	0.52532685	Yes	
row_15	BOP1	438	5.781616687774658	0.55125046	Yes	
row_16	DIS3	442	5.768359661102295	0.57790834	Yes	
row_17	EXOSC7	458	5.66855525970459	0.60290545	Yes	
row_18	DDX47	506	5.389051914215088	0.62341136	Yes	
row_19	BMS1	581	5.043147087097168	0.63961345	Yes	
row_20	HEATR1	614	4.892071723937988	0.65928984	Yes	
row_21	BYSL	670	4.647589683532715	0.67553455	Yes	
row_22	KRI1	677	4.625921249389648	0.696555	Yes	
row_23	DDX52	684	4.59788179397583	0.7174445	Yes	
row_24	EIF6	910	3.6627585887908936	0.7121664	Yes	
row_25	FDXACB1	928	3.592913866043091	0.72726464	Yes	
row_26	IMP3	930	3.5874686241149902	0.7439299	Yes	
row_27	LAS1L	969	3.5072338581085205	0.7565376	Yes	
row_28	ABT1	972	3.4988443851470947	0.7726892	Yes	
row_29	DDX27	1033	3.288780927658081	0.7820863	Yes	
row_30	DHX37	1052	3.2148895263671875	0.7953184	Yes	
row_31	EXOSC3	1056	3.2009222507476807	0.80997825	Yes	
row_32	FTSJ3	1180	2.8871233463287354	0.8112278	Yes	
row_33	EXOSC4	1228	2.754869222640991	0.81942374	Yes	
row_34	DDX54	1334	2.4756686687469482	0.82054204	Yes	
row_35	EXOSC2	1369	2.412384271621704	0.8284314	Yes	
row_36	ERI2	1386	2.3738865852355957	0.83793247	Yes	
row_37	EXOSC10	1766	1.6335777044296265	0.80784374	No	
row_38	EXOSC5	2471	0.8300139307975769	0.7416519	No	
row_39	DDX49	2910	0.517422080039978	0.7004748	No	
row_40	ERI3	7843	-1.196925163269043	0.2151754	No	
row_41	FBLL1	8266	-1.7493025064468384	0.1813476	No	
