NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX21	40	11.1948881149292	0.04966779	Yes	
row_1	DKC1	64	10.29647159576416	0.09672216	Yes	
row_2	EBNA1BP2	72	10.063833236694336	0.1442542	Yes	
row_3	DCAF13	84	9.792287826538086	0.19008675	Yes	
row_4	GNL3	120	9.046722412109375	0.2299576	Yes	
row_5	DIMT1	137	8.790138244628906	0.2704899	Yes	
row_6	KRR1	142	8.737112045288086	0.31196252	Yes	
row_7	EXOSC9	162	8.39016056060791	0.35027942	Yes	
row_8	FBL	181	8.111790657043457	0.38736185	Yes	
row_9	EXOSC8	198	7.796610355377197	0.4231329	Yes	
row_10	EMG1	203	7.755917549133301	0.45990333	Yes	
row_11	GAR1	219	7.523563385009766	0.4944654	Yes	
row_12	C1D	350	6.419345378875732	0.5122895	Yes	
row_13	IMP4	378	6.254244804382324	0.53957427	Yes	
row_14	ERI1	426	5.881773948669434	0.5630834	Yes	
row_15	BOP1	438	5.781616687774658	0.5896957	Yes	
row_16	DIS3	442	5.768359661102295	0.6170407	Yes	
row_17	EXOSC7	458	5.66855525970459	0.64271307	Yes	
row_18	DDX47	506	5.389051914215088	0.6638609	Yes	
row_19	BMS1	581	5.043147087097168	0.6806637	Yes	
row_20	HEATR1	614	4.892071723937988	0.7009229	Yes	
row_21	BYSL	670	4.647589683532715	0.71772116	Yes	
row_22	DDX52	684	4.59788179397583	0.7384616	Yes	
row_23	HSD17B10	857	3.882516860961914	0.7399482	Yes	
row_24	IMP3	930	3.5874686241149902	0.7499741	Yes	
row_25	LAS1L	969	3.5072338581085205	0.7629995	Yes	
row_26	DHX37	1052	3.2148895263671875	0.77024454	Yes	
row_27	EXOSC3	1056	3.2009222507476807	0.78528565	Yes	
row_28	EXOSC1	1148	2.9529829025268555	0.79037976	Yes	
row_29	FTSJ3	1180	2.8871233463287354	0.8011302	Yes	
row_30	EXOSC4	1228	2.754869222640991	0.80965424	Yes	
row_31	FCF1	1335	2.4754300117492676	0.8109668	Yes	
row_32	EXOSC2	1369	2.412384271621704	0.8192431	Yes	
row_33	EXOSC6	1426	2.2859675884246826	0.8246243	Yes	
row_34	ELAC2	1744	1.6608731746673584	0.80103195	No	
row_35	EXOSC10	1766	1.6335777044296265	0.8067703	No	
row_36	FAU	2021	1.2753024101257324	0.78760076	No	
row_37	ISG20L2	2179	1.1077417135238647	0.77728283	No	
row_38	EXOSC5	2471	0.8300139307975769	0.7522966	No	
row_39	DDX49	2910	0.517422080039978	0.71118116	No	
row_40	CSNK1E	4095	0.02665008045732975	0.59346277	No	
row_41	CSNK1D	7098	-0.6122836470603943	0.29760134	No	
