NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALHM3	1030	3.3011984825134277	-0.068409614	No	
row_1	ADCY3	1669	1.807922124862671	-0.11321459	No	
row_2	ITPR3	2292	1.0045967102050781	-0.1646738	No	
row_3	C5AR1	2432	0.8705418705940247	-0.16954434	No	
row_4	CNGB1	3247	0.3943789005279541	-0.24633169	No	
row_5	AZGP1	3566	0.24338003993034363	-0.27541324	No	
row_6	GNAT2	3698	0.16624300181865692	-0.28671634	No	
row_7	GNAT3	5103	0.0	-0.42614037	No	
row_8	CALHM1	6443	-0.3146542012691498	-0.55588084	No	
row_9	GPR148	6852	-0.49811428785324097	-0.59128594	No	
row_10	BEST2	7278	-0.7552130222320557	-0.62574106	No	
row_11	BBS4	8559	-2.2366654872894287	-0.72990036	No	
row_12	GNAS	9128	-3.8269357681274414	-0.7470364	Yes	
row_13	CA6	9802	-8.26711654663086	-0.7290377	Yes	
row_14	DRD2	9857	-9.30075454711914	-0.63896286	Yes	
row_15	CD36	9982	-11.862862586975098	-0.52954894	Yes	
row_16	CST2	10009	-12.868865966796875	-0.4000803	Yes	
row_17	CST4	10073	-17.324560165405273	-0.22856498	Yes	
row_18	CST1	10088	-22.41007423400879	-1.6516424E-8	Yes	
