NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EZR	616	4.876711845397949	-1.0841573E-4	No	
row_1	KCNQ4	1010	3.3749544620513916	0.0031249984	No	
row_2	EPB41L3	1869	1.4900983572006226	-0.06344024	No	
row_3	CHRNA9	3246	0.3943789005279541	-0.1951848	No	
row_4	ESPNL	3258	0.3943789005279541	-0.19133781	No	
row_5	CDH23	4117	0.0195235013961792	-0.27632225	No	
row_6	GRXCR1	5153	0.0	-0.3791334	No	
row_7	GRXCR2	5154	0.0	-0.3791334	No	
row_8	KCNMB1	5334	0.0	-0.39691427	No	
row_9	LHFPL5	5464	0.0	-0.40972844	No	
row_10	FSCN2	6365	-0.2736509144306183	-0.4957019	No	
row_11	CHRNA10	6596	-0.405560165643692	-0.51346916	No	
row_12	KCNN2	7017	-0.5495560765266418	-0.54830635	No	
row_13	EPS8L2	8131	-1.5425306558609009	-0.63954514	No	
row_14	GSN	8595	-2.3051106929779053	-0.6566651	No	
row_15	CLIC5	9513	-5.714557647705078	-0.67617905	Yes	
row_16	CIB2	9604	-6.412386894226074	-0.6048029	Yes	
row_17	CASK	9652	-6.756039142608643	-0.52485114	Yes	
row_18	EPS8	9801	-8.258238792419434	-0.43611687	Yes	
row_19	EPB41L1	9806	-8.394125938415527	-0.3313764	Yes	
row_20	ESPN	9942	-10.955390930175781	-0.20756851	Yes	
row_21	KCNMA1	10077	-17.722084045410156	0.0010926658	Yes	
