NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCE1	41	11.160412788391113	0.03502035	Yes	
row_1	ETF1	54	10.634566307067871	0.07109828	Yes	
row_2	EIF2S2	78	9.865241050720215	0.10337909	Yes	
row_3	FARSB	97	9.492484092712402	0.1348534	Yes	
row_4	EIF2S1	113	9.168497085571289	0.16549209	Yes	
row_5	EIF3J	117	9.120237350463867	0.19716197	Yes	
row_6	EIF5B	118	9.109373092651367	0.22909386	Yes	
row_7	GSPT1	179	8.128761291503906	0.25158653	Yes	
row_8	EIF3M	265	7.1127800941467285	0.26801702	Yes	
row_9	EIF5A	375	6.2725138664245605	0.27910137	Yes	
row_10	EIF3B	385	6.20159912109375	0.2999401	Yes	
row_11	DENR	399	6.05901575088501	0.31987894	Yes	
row_12	GFM1	430	5.846874713897705	0.33737358	Yes	
row_13	CHCHD1	449	5.70823335647583	0.35558262	Yes	
row_14	IARS2	476	5.539361953735352	0.37239945	Yes	
row_15	EIF2A	485	5.521958351135254	0.39095584	Yes	
row_16	DARS2	499	5.425082683563232	0.40867245	Yes	
row_17	EIF1	509	5.380153179168701	0.42663172	Yes	
row_18	DAP3	559	5.163993835449219	0.43983206	Yes	
row_19	EIF3A	577	5.056820869445801	0.45585766	Yes	
row_20	DRG1	603	4.937081336975098	0.4706633	Yes	
row_21	EIF3E	634	4.782342910766602	0.48442638	Yes	
row_22	EIF2B3	669	4.648370265960693	0.4973197	Yes	
row_23	EIF2B2	717	4.463329792022705	0.508264	Yes	
row_24	EIF5AL1	779	4.1423020362854	0.5166825	Yes	
row_25	EIF1AX	780	4.13878059387207	0.5311906	Yes	
row_26	FTSJ1	786	4.1176252365112305	0.5451243	Yes	
row_27	EIF3I	821	4.005779266357422	0.5557651	Yes	
row_28	FARSA	825	3.98293137550354	0.5694267	Yes	
row_29	GADD45GIP1	840	3.935582160949707	0.58182204	Yes	
