NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DEFENSINS%REACTOME DATABASE ID RELEASE 83%1461973	DEFENSINS%REACTOME DATABASE ID RELEASE 83%1461973	Details ...	38	-0.8799209	-2.2022605	0.0	0.0	0.0	271	tags=8%, list=3%, signal=8%	
NEUTRAL LIPID CATABOLIC PROCESS%GOBP%GO:0046461	NEUTRAL LIPID CATABOLIC PROCESS%GOBP%GO:0046461	Details ...	16	-0.8749032	-1.861763	0.0	0.048322164	0.098	839	tags=44%, list=8%, signal=48%	
ACYLGLYCEROL CATABOLIC PROCESS%GOBP%GO:0046464	ACYLGLYCEROL CATABOLIC PROCESS%GOBP%GO:0046464	Details ...	16	-0.8749032	-1.8278749	0.0	0.086893395	0.245	839	tags=44%, list=8%, signal=48%	
ANTIMICROBIAL PEPTIDES%REACTOME DATABASE ID RELEASE 83%6803157	ANTIMICROBIAL PEPTIDES%REACTOME DATABASE ID RELEASE 83%6803157	Details ...	59	-0.6859221	-1.8246994	0.0	0.06917385	0.255	405	tags=7%, list=4%, signal=7%	
ARACHIDONIC ACID METABOLISM%REACTOME DATABASE ID RELEASE 83%2142753	ARACHIDONIC ACID METABOLISM%REACTOME DATABASE ID RELEASE 83%2142753	Details ...	40	-0.72615534	-1.8238218	0.0	0.05533908	0.255	430	tags=20%, list=4%, signal=21%	
EMBRYO DEVELOPMENT ENDING IN BIRTH OR EGG HATCHING%GOBP%GO:0009792	EMBRYO DEVELOPMENT ENDING IN BIRTH OR EGG HATCHING%GOBP%GO:0009792	Details ...	93	-0.6342641	-1.811405	0.0	0.06156298	0.321	1677	tags=40%, list=17%, signal=47%	
ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690	ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690	Details ...	71	-0.65283936	-1.7984868	0.0	0.0706217	0.409	1160	tags=28%, list=11%, signal=32%	
REVERSE CHOLESTEROL TRANSPORT%GOBP%GO:0043691	REVERSE CHOLESTEROL TRANSPORT%GOBP%GO:0043691	Details ...	16	-0.8465272	-1.7834888	0.0	0.086196125	0.525	1181	tags=50%, list=12%, signal=57%	
CHORDATE EMBRYONIC DEVELOPMENT%GOBP%GO:0043009	CHORDATE EMBRYONIC DEVELOPMENT%GOBP%GO:0043009	Details ...	88	-0.6237567	-1.7745838	0.0	0.09335346	0.596	1677	tags=38%, list=17%, signal=45%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	41	-0.7092936	-1.7708883	0.003241491	0.09065126	0.629	2029	tags=63%, list=20%, signal=79%	
