NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	Details ...	119	0.76788056	2.4630082	0.0	0.0	0.0	1482	tags=69%, list=15%, signal=80%	
METABOLISM OF RNA%REACTOME DATABASE ID RELEASE 83%8953854	METABOLISM OF RNA%REACTOME DATABASE ID RELEASE 83%8953854	Details ...	193	0.71469957	2.3807428	0.0	0.0	0.0	1766	tags=59%, list=18%, signal=70%	
RIBOSOME BIOGENESIS%GOBP%GO:0042254	RIBOSOME BIOGENESIS%GOBP%GO:0042254	Details ...	67	0.8008034	2.375817	0.0	0.0	0.0	1386	tags=82%, list=14%, signal=95%	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details ...	49	0.8327414	2.3070827	0.0	0.0	0.0	1520	tags=84%, list=15%, signal=98%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364	Details ...	42	0.83793247	2.2702792	0.0	0.0	0.0	1386	tags=88%, list=14%, signal=102%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	Details ...	42	0.8246243	2.2547636	0.0	0.0	0.0	1426	tags=81%, list=14%, signal=94%	
REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0033139	REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0033139	Details ...	19	0.97881645	2.2112365	0.0	0.0	0.0	43	tags=11%, list=0%, signal=11%	
MRNA METABOLIC PROCESS%GOBP%GO:0016071	MRNA METABOLIC PROCESS%GOBP%GO:0016071	Details ...	144	0.67112535	2.2068768	0.0	0.0	0.0	1497	tags=49%, list=15%, signal=56%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072	Details ...	55	0.77953696	2.1956878	0.0	0.0	0.0	1426	tags=73%, list=14%, signal=84%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	40	0.8317267	2.180995	0.0	0.0	0.0	1426	tags=83%, list=14%, signal=96%	
MRNA SPLICING%REACTOME DATABASE ID RELEASE 83%72172	MRNA SPLICING%REACTOME DATABASE ID RELEASE 83%72172	Details ...	60	0.7473345	2.1675038	0.0	0.0	0.0	1688	tags=62%, list=17%, signal=74%	
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0033141	POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0033141	Details ...	18	0.96471804	2.165711	0.0	0.0	0.0	28	tags=6%, list=0%, signal=6%	
