"","ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1834","ENSG00000131016","AKAP12",368.647772427408,198.799344666292,28.241834130842,1.51751543771432e-09,7.47072849986759e-06,-4.05478836771388
"315","ENSG00000069482","GAL",325.267191372459,252.212160666568,25.032942957582,4.08816633094193e-09,8.76209942547738e-06,-4.05660295316957
"3058","ENSG00000164307","ERAP1",-351.712894494279,341.790054203822,-24.2311255172829,5.33948776689664e-09,8.76209942547738e-06,-4.05717027958928
"132","ENSG00000026508","CD44",-1241.59991388982,886.557981890066,-22.1814504289634,1.10115466351402e-08,1.28171077343762e-05,-4.0589038164921
"2324","ENSG00000142149","HUNK",-325.357318248884,289.458795856021,-21.7320771760879,1.3017578442389e-08,1.28171077343762e-05,-4.05934925773015
"2426","ENSG00000144381","HSPD1",389.803437550496,432.230856436845,19.3511004694146,3.3548682810961e-08,2.36653865099339e-05,-4.06223435363349
"220","ENSG00000057019","DCBLD2",838.61949751965,754.760384241003,18.8913353842219,4.07993546764567e-08,2.36653865099339e-05,-4.06291655649277
"413","ENSG00000077984","CST7",385.7039247645,392.035434511475,18.60368798414,4.62203806077683e-08,2.36653865099339e-05,-4.06336846947703
"500","ENSG00000086548","CEACAM6",-53.2410940726352,28.3078130686036,-18.4166251202993,5.01764926128731e-08,2.36653865099339e-05,-4.06367340143643
"3171","ENSG00000166278","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4157","ENSG00000204364","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4217","ENSG00000206372","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4376","ENSG00000226560","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4454","ENSG00000231543","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4512","ENSG00000235017","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4523","ENSG00000235696","C2",-472.758686606189,276.669111958703,-17.4723392331667,7.69137079339716e-08,2.36653865099339e-05,-4.06535950567391
"4121","ENSG00000198910","L1CAM",261.515560251097,224.680975283643,17.0767157030945,9.25933350477021e-08,2.6813940496461e-05,-4.06614717674438
"485","ENSG00000085563","ABCB1",-325.059299707595,323.544349389212,-16.6631647751387,1.12908172659941e-07,2.90201978024581e-05,-4.06702876504605
"1534","ENSG00000120705","ETF1",412.204817768279,494.534685277604,16.5900504848021,1.16994709672853e-07,2.90201978024581e-05,-4.06719123704126
"1452","ENSG00000118922","KLF12",-298.696907776999,255.016766124332,-16.4875921056924,1.23002228969718e-07,2.90201978024581e-05,-4.06742240989478
"2267","ENSG00000140470","ADAMTS17",-274.046738953574,208.143045563321,-16.4745524008751,1.23791215488853e-07,2.90201978024581e-05,-4.06745212758703
"1047","ENSG00000108561","C1QBP",410.313393866301,445.556985644169,16.3521900470789,1.31476784786049e-07,2.94209187046235e-05,-4.06773431751702
"3861","ENSG00000185015","CA13",-52.0050443521194,36.7842812301124,-16.1163265710007,1.47842607101517e-07,3.16447458591638e-05,-4.06829570879085
"3596","ENSG00000176153","GPX2",-2352.89144071804,1789.8011449242,-16.0191992265388,1.55233615012239e-07,3.18422952793855e-05,-4.06853380541867
"3561","ENSG00000175215","CTDSP2",-296.378285595265,438.69377009715,-15.9379906331915,1.61730843716299e-07,3.18480377446136e-05,-4.06873607875817
"2707","ENSG00000154065","ANKRD29",-43.0728428874937,30.5708712515588,-15.5698852084071,1.95252623044533e-07,3.31891421624374e-05,-4.06969111507619
"3435","ENSG00000171747","LGALS4",-112.824094609483,60.9463163331745,-15.5191529248752,2.00453445169833e-07,3.31891421624374e-05,-4.06982784040253
"4833","ENSG00000282992","LGALS4",-112.824094609483,60.9463163331745,-15.5191529248752,2.00453445169833e-07,3.31891421624374e-05,-4.06982784040253
"1230","ENSG00000113013","HSPA9",314.725524030404,472.848585376889,15.5187510718902,2.00495253959841e-07,3.31891421624374e-05,-4.06982892851247
"3267","ENSG00000168306","ACOX2",-53.6280427827797,32.5465366806883,-15.4838542177343,2.04163338882276e-07,3.31891421624374e-05,-4.06992372778358
"1530","ENSG00000120694","HSPH1",482.998973174148,472.124735841171,15.3638983115641,2.17355559652591e-07,3.31891421624374e-05,-4.0702542977211
"3480","ENSG00000172893","DHCR7",380.114398341086,557.064714300843,15.3409090296682,2.19991036455356e-07,3.31891421624374e-05,-4.07031849481822
"3931","ENSG00000187017","ESPN",-222.249685152904,263.153046670449,-15.3195259379295,2.22474444720787e-07,3.31891421624374e-05,-4.07037845365624
"2190","ENSG00000138604","GLCE",-166.712251306926,172.729320789908,-15.1199208592652,2.47228559538786e-07,3.57972411355718e-05,-4.07094986756833
"2845","ENSG00000159388","BTG2",-386.260997389082,264.547366485884,-14.9022537892834,2.77788085595815e-07,3.85813220821587e-05,-4.0715980021657
"3008","ENSG00000163701","IL17RE",-91.8150597416187,73.2402687704836,-14.8735073620632,2.8213032601213e-07,3.85813220821587e-05,-4.07168562286711
"2223","ENSG00000139182","CLSTN3",-211.087785047877,243.805898490236,-14.7589431589059,3.00204403113099e-07,3.88922704348891e-05,-4.07203965598565
"4904","ENSG00000288427","CLSTN3",-211.087785047877,243.805898490236,-14.7589431589059,3.00204403113099e-07,3.88922704348891e-05,-4.07203965598565
"2538","ENSG00000147883","CDKN2B",76.6071473202239,61.7366390372442,14.6199342709077,3.23893401372967e-07,3.91702177020695e-05,-4.07247986061788
"43","ENSG00000006210","CX3CL1",-51.3696967993577,33.484482403275,-14.6051854958295,3.26526888184414e-07,3.91702177020695e-05,-4.07252726574035
"3775","ENSG00000182580","EPHB3",-133.317552802411,111.820513213512,-14.5918975175315,3.28920020346066e-07,3.91702177020695e-05,-4.07257009218429
"1859","ENSG00000131620","ANO1",426.519193260962,294.974496392856,14.5630876404449,3.34176141272988e-07,3.91702177020695e-05,-4.07266332623211
"945","ENSG00000106003","LFNG",-223.072488922691,378.627182040955,-14.4515902529231,3.55419966908675e-07,4.03126613629685e-05,-4.07302913628355
"19","ENSG00000004455","AK2",432.913435502519,604.057075217007,14.4270273424477,3.60300040619666e-07,4.03126613629685e-05,-4.07311080425158
"4382","ENSG00000226887","ERVMER34-1",-783.383211742082,900.860884716218,-14.3434517405333,3.77473252834011e-07,4.04676827761817e-05,-4.07339165646455
"2813","ENSG00000158555","GDPD5",-92.7706003399446,65.3392692978496,-14.3058548159991,3.85495105323062e-07,4.04676827761817e-05,-4.07351951841489
"3129","ENSG00000165617","DACT1",-47.8585044596484,28.8427980273904,-14.276651890662,3.91857329813487e-07,4.04676827761817e-05,-4.07361949252047
"3136","ENSG00000165732","DDX21",371.760032043377,400.520057293955,14.264378840624,3.94566072162649e-07,4.04676827761817e-05,-4.07366168156256
"2314","ENSG00000141736","ERBB2",-244.891928421339,342.413153142942,-14.2046928220313,4.08040625072859e-07,4.09110308669846e-05,-4.07386832813394
"1593","ENSG00000123104","ITPR2",-456.178955919741,266.544777757963,-14.1231544427326,4.27286057549256e-07,4.09110308669846e-05,-4.07415463720434
"1968","ENSG00000134531","EMP1",160.535786265507,129.001902990769,14.0979276039043,4.33443915267978e-07,4.09110308669846e-05,-4.07424416762676
"2618","ENSG00000151079","KCNA6",-200.126296112728,172.996167725237,-14.0398473738032,4.48001285878173e-07,4.09110308669846e-05,-4.07445202739242
"328","ENSG00000070669","ASNS",609.780182655592,552.847774042686,13.9875091326594,4.61587991388665e-07,4.09110308669846e-05,-4.07464143127291
"4159","ENSG00000204388","HSPA1B",91.3304883209355,67.0752884808833,13.912060020776,4.81990613504999e-07,4.09110308669846e-05,-4.07491802065354
"4253","ENSG00000212866","HSPA1B",91.3304883209355,67.0752884808833,13.912060020776,4.81990613504999e-07,4.09110308669846e-05,-4.07491802065354
"4350","ENSG00000224501","HSPA1B",91.3304883209355,67.0752884808833,13.912060020776,4.81990613504999e-07,4.09110308669846e-05,-4.07491802065354
